Fecha,SP500_close,entry_type,Rotura High Prematura,Rotura Low Prematura,target_profit_outside_range,profit_points_outside_range,target_profit_mfe_time,stop_out_outside_range,lost_outside_range,stop_out_time,mfe_time,rango_apertura,subrango_apertura,MFE_desde_entrada,MAE_desde_entrada
2021-03-26,4473.0,Long,2021-03-26 17:30:00+01:00,2021-03-26 19:50:00+01:00,True,37.0,2021-03-26 21:00:00+01:00,True,15.5,2021-03-26 19:20:00+01:00,2021-03-26 21:00:00+01:00,17.5,14.75,42.5,18.75
2021-03-29,4473.75,Short,2021-03-29 18:55:00+02:00,2021-03-29 16:55:00+02:00,True,1.0,2021-03-29 17:05:00+02:00,True,26.75,2021-03-29 18:55:00+02:00,2021-03-29 17:05:00+02:00,25.75,24.5,2.25,37.25
2021-03-30,4460.25,Long,2021-03-30 16:45:00+02:00,,True,5.75,2021-03-30 21:05:00+02:00,False,16.25,,2021-03-30 21:05:00+02:00,17.25,10.75,8.25,12.5
2021-03-31,4477.0,Long,2021-03-31 16:45:00+02:00,,True,14.0,2021-03-31 19:15:00+02:00,False,16.5,,2021-03-31 19:15:00+02:00,14.25,11.25,12.25,8.25
2021-04-01,4525.0,Long,2021-04-01 16:45:00+02:00,,True,19.0,2021-04-01 22:45:00+02:00,False,12.75,,2021-04-01 22:45:00+02:00,12.0,8.75,18.5,5.0
2021-04-02,4538.0,None,,,False,,,False,,,,12.0,8.75,,
2021-04-05,4581.0,Long,2021-04-05 16:35:00+02:00,,True,13.5,2021-04-05 18:40:00+02:00,False,22.5,,2021-04-05 18:40:00+02:00,21.5,19.5,13.75,3.25
2021-04-06,4577.25,Long,2021-04-06 17:40:00+02:00,2021-04-06 21:55:00+02:00,False,,2021-04-06 17:50:00+02:00,True,15.5,2021-04-06 21:55:00+02:00,2021-04-06 17:50:00+02:00,17.0,12.5,1.75,16.0
2021-04-07,4586.0,Long,2021-04-07 16:45:00+02:00,2021-04-07 17:40:00+02:00,True,3.0,2021-04-07 22:40:00+02:00,True,12.5,2021-04-07 18:20:00+02:00,2021-04-07 22:40:00+02:00,12.25,9.25,3.0,14.25
2021-04-08,4608.75,Long,2021-04-08 17:55:00+02:00,,True,14.25,2021-04-08 22:55:00+02:00,False,11.25,,2021-04-08 22:55:00+02:00,11.0,8.0,14.25,2.5
2021-04-09,4624.75,Long,2021-04-09 17:50:00+02:00,,True,22.75,2021-04-09 22:00:00+02:00,False,9.25,,2021-04-09 22:00:00+02:00,9.75,7.75,25.5,1.25
2021-04-12,4633.25,Short,2021-04-12 18:35:00+02:00,2021-04-12 16:35:00+02:00,True,1.25,2021-04-12 16:45:00+02:00,True,9.0,2021-04-12 18:35:00+02:00,2021-04-12 16:45:00+02:00,10.75,7.75,4.25,14.25
2021-04-13,4645.0,Long,2021-04-13 17:30:00+02:00,,True,12.5,2021-04-13 21:15:00+02:00,False,9.5,,2021-04-13 21:15:00+02:00,10.25,8.25,14.75,5.25
2021-04-14,4634.0,Short,,2021-04-14 20:00:00+02:00,True,14.75,2021-04-14 21:05:00+02:00,False,17.0,,2021-04-14 21:05:00+02:00,13.0,10.25,12.5,10.0
2021-04-15,4673.25,Long,2021-04-15 16:35:00+02:00,,True,13.5,2021-04-15 21:50:00+02:00,False,14.5,,2021-04-15 21:50:00+02:00,10.0,8.25,12.0,4.75
2021-04-16,4683.0,Long,2021-04-16 20:45:00+02:00,,True,3.5,2021-04-16 21:55:00+02:00,False,15.5,,2021-04-16 21:55:00+02:00,16.75,12.25,6.25,5.5
2021-04-19,4667.25,Short,,2021-04-19 16:45:00+02:00,True,10.0,2021-04-19 18:45:00+02:00,False,14.5,,2021-04-19 18:45:00+02:00,16.75,13.25,15.25,6.75
2021-04-20,4631.0,Short,,2021-04-20 16:35:00+02:00,True,28.25,2021-04-20 17:40:00+02:00,False,12.5,,2021-04-20 17:40:00+02:00,10.0,8.25,28.0,5.0
2021-04-21,4667.5,Long,2021-04-21 17:05:00+02:00,,True,20.5,2021-04-21 21:55:00+02:00,False,27.0,,2021-04-21 21:55:00+02:00,27.5,24.75,22.5,4.75
2021-04-22,4640.75,Long,2021-04-22 16:50:00+02:00,2021-04-22 19:15:00+02:00,True,5.25,2021-04-22 19:05:00+02:00,True,14.5,2021-04-22 19:15:00+02:00,2021-04-22 19:05:00+02:00,16.75,11.5,8.0,48.5
2021-04-23,4676.75,Long,2021-04-23 16:35:00+02:00,,True,36.5,2021-04-23 21:40:00+02:00,False,22.25,,2021-04-23 21:40:00+02:00,17.0,15.25,32.75,7.75
2021-04-26,4692.0,Short,,2021-04-26 18:10:00+02:00,False,,2021-04-26 21:35:00+02:00,True,7.75,2021-04-26 21:25:00+02:00,2021-04-26 21:35:00+02:00,9.75,7.25,4.5,8.25
2021-04-27,4691.0,Short,2021-04-27 21:40:00+02:00,2021-04-27 16:40:00+02:00,False,,2021-04-27 16:45:00+02:00,True,13.5,2021-04-27 21:40:00+02:00,2021-04-27 16:45:00+02:00,17.0,11.0,1.25,15.0
